id,name,annotation,text,created_at,close_date,salary,location,recruiter,link,Biochemistry,Biophysics,Biotechnology,Cancer,Cell Biology,Chemical biology,Computational biology and bioinformatics,Ecology,Evolution,Genetics,Immunology,Microbiology,Molecular Biology,Neuroscience,Plant sciences,Zoology,text_word_count,annotation_word_count,name_word_count
1,Westlake University: A Quick Career Path from Fresh PhD to Faculty: Westlake Fellows Program,"China, Hangzhou | Westlake University ","The Westlake Fellows Program is seeking outstanding newly minted or imminent PhD graduates with a track-record of excellence and creativity to establish their own independent research programs in any area of science and engineering. Westlake University offers an English-speaking and cross-disciplinary work environment, and an internationally competitive package for research support, salary, and benefits. To learn more, please visit: https://westlakefellows.westlake.edu.cn/ Diversity and inclusion are core values of Westlake University. Applications will be equally evaluated based on their experience and qualification.",2023-05-29 09:59:41,2023-06-27 22:59:00,,"China, Hangzhou",Westlake University,https://www.nature.com/naturecareers/job/12798262/a-quick-career-path-from-fresh-phd-to-faculty-westlake-fellows-program/?TrackID=12&utm_source=rss&utm_medium=feed&utm_campaign=general,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,80,5,14
2,Harvard Medical School Department of Neurobiology: Postdoctoral fellow - molecular and systems neuroscience,"United States, Boston | Harvard Medical School Department of Neurobiology ","The labs of Sandeep Robert Datta and Michael E. Greenberg are seeking a postdoctoral fellow as part of a joint project to probe the molecular basis of neural circuit function and behavior. The project aims to better understand how individual molecules contribute to key functional properties of circuits in the olfactory system both in the sensory periphery and more centrally in cortex, with the long term goal of using functional molecular approaches to better understand how sensory information is coupled to natural behavior. Successful candidates will have significant experience in modern molecular biology techniques (e.g., -omics, single cell techniques, epigenetics) and fluency in analyzing complex datasets; previous experience with neuroscience is a plus but not a requirement. For an example of projects carried out by the Datta lab in this vein see (Tsukahara et al, Cell 184:6326) and by the Greenberg lab see (Yap et al, Nature 590:115, and Pettit et al, Nature 609:327). Ideal candidates will be creative, and able to work with others on collaborative projects in a highly interactive environment. Applicants should contact Dr. Sandeep Robert Datta at srdatta@hms.harvard.edu . Please include a cover letter describing past work and future interests, a list of references, and a CV.",2023-05-29 09:59:42,2023-07-25 22:59:00,,"United States, Boston",Harvard Medical School Department of Neurobiology,https://www.nature.com/naturecareers/job/12799853/postdoctoral-fellow-molecular-and-systems-neuroscience/?TrackID=12&utm_source=rss&utm_medium=feed&utm_campaign=general,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,201,10,13
3,Westlake University: Faculty Positions in Westlake University,"China, Hangzhou | Westlake University ","ABOUT US Founded in 2018, Westlake University is a new type of non-profit research-oriented university in Hangzhou, China, supported by public and private funding. Preceded by the Westlake Institute for Advanced Study, Westlake University is creating a stimulating, world-class environment for research and education in science, engineering and technology, and life sciences. Westlake University seeks exceptional scholars in all branches of cutting-edge science and technology from around the world. If you believe you are among the best in your chosen research field, you may wish to consider an exciting career opportunity in Westlake University. CAREER OPPORTUNITIES Faculty Positions are open at four distinct ranks: Assistant Professor, Associate Professor, Full Professor, and Chair Professor. Each faculty member will receive an internationally competitive salary and a fringe benefits package that includes a generous housing option, a high-end medical care plan for the entire family, generous retirement pension, and schooling assistance for children. Each faculty member is provided with an internationally competitive start-up package that includes long-term and sufficient research funds, ample laboratory space, excellent equipment and research support. Stable financial support safeguards every research project that is designed to push the envelope of human knowledge. The research disciplines include, but are not limited to: all major branches of engineering, life sciences, mathematics, chemistry, physics, and inter-disciplinary fields. For more information, please visit: https://en.westlake.edu.cn/ Please send the following application documents in PDF format to talents@westlake.edu.cn REQUIRED DOCUMENTS - Cover Letter - Curriculum Vitae - your up-to-date CV with publication list - Statement of Research Summary and Research Proposal (3-5 pages) REFERENCE REQUIREMENTS For junior candidates who apply to tenure track positions, 3 letters of reference should be arranged to be sent by referees directly to talents@westlake.edu.cn . CONTACTS Office of Human Resources, Westlake University Yungu Campus Address : 600 Dunyu Road, Sandun Town, Xihu District, Hangzhou, Zhejiang Province 310030, CHINA Yunqi Campus Address : 18 Shilongshan Road, Cloud Town, Xihu District, Hangzhou, Zhejiang Province 310024, CHINA Review of applications will start upon receipt and will continue until the positions are filled. For exceptional applicants recommended by the faculty search committee, we will schedule interviews immediately.",2023-05-29 09:59:43,2023-11-25 23:59:00,,"China, Hangzhou",Westlake University,https://www.nature.com/naturecareers/job/12799777/faculty-positions-in-westlake-university/?TrackID=12&utm_source=rss&utm_medium=feed&utm_campaign=general,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,352,5,7
4,"Institute of Zoology, Chinese Academy of Sciences (IOZ, CAS): Recruitment of Global Talent at the Institute of Zoology,  Chinese Academy of Sciences (IOZ, CAS)","China, Beijing | Institute of Zoology, Chinese Academy of Sciences (IOZ, CAS) ","The Institute of Zoology (IOZ), Chinese Academy of Sciences (CAS), is seeking global talents in the areas of Zoology, Entomology, Ecology, Systematic Biology, Development Biology, Cell Biology, Evolutionary Biology, Genomics, and interdisciplinary disciplines. And we welcome outstanding talents from all over the world. About Us IOZ, CAS is a government-funded scientific research institution focusing on the basic science of Zoology. Formerly known as the Fan Memorial Institute of Biology, IOZ was established in 1928 and has a long history of more than 90 years. Over the course of its development, IOZ has nurtured many outstanding scientists, including the famous scientist Dr. BING Zhi and 16 Academicians of CAS. Our predecessors at IOZ have established many branches of zoology in China, and have made important contributions to national natural resource investigation, nature reserve establishment, pest insect and rodent management, conservation of rare and endangered animals, reproductive biology, stem cells and regenerative medicine, etc. *Specific recruitment research fields* • Stem cell and regeneration • Reproductive health • Aging and metabolism • Innovative biotechnology • Biotherapy • Organ engineering • Agricultural and medical entomology • Pesticide toxicology • Targeted and biological pesticide development • Integrated pest management • Discovery and catalogue of animal biodiversity • Intelligent taxonomy and biodiversity monitoring • Animal ecology, evolution and development • Conservation biology of endangered animals • Wildlife borne disease research • Macro-ecology Qualifications 1. Leading Scientists (tenured PI) 1) Should possess a prestigious academic background and international influence in a research area of interest, and be eligible as a tenured associate professor or above at well-known universities or research institutions 2) Should commit to full-time work once employed by IOZ 2. Young Scientists (tenure-track PI) 1) Should hold a doctor’s degree, and have more than 36 consecutive months of research work experience after obtaining a doctor's degree 2) Should possess an outstanding research record that demonstrates strong academic potential 3) Should promise to fulfill a six-year contract for a full-time position once employed by IOZ, IOZ provides 1) Internationally competitive start-up packages including funding support, enough laboratory space, access to state-of-the-art research facilities, excellent technical and administrative support 2) Internationally competitive salary- and benefits package including a generous housing allowance and a premium medical care plan 3) Excellent interdisciplinary research environment and outstanding core research facilities 4) Outstanding graduate programs at the University of Chinese Academy of Sciences, strong administrative support, and open exchange with the international scientific community Application Instructions Candidates interested in our positions can contact us directly, and send the following documents in PDF format via email to Dr. Yingjie Xia . • Cover letter • Curriculum vitae with a complete list of publications • Statement of research interest and plan (3 pages) • Three letters of reference (to be submitted directly by the referees) Contact person Dr. Yingjie Xia E-mail: xiayj@ioz.ac.cn Tel: 86-10-64807320",2023-05-29 09:59:44,2023-06-23 22:59:00,,"China, Beijing","Institute of Zoology, Chinese Academy of Sciences (IOZ, CAS)",https://www.nature.com/naturecareers/job/781361/recruitment-of-global-talent-at-the-institute-of-zoology-chinese-academy-of-sciences-ioz-cas-/?TrackID=12&utm_source=rss&utm_medium=feed&utm_campaign=general,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,471,12,24
5,"Institute of Zoology, Chinese Academy of Sciences (IOZ, CAS): National Key Laboratory of Animal Biodiversity Conservation and Integrated Pest Management","China, Beijing | Institute of Zoology, Chinese Academy of Sciences (IOZ, CAS) ","The Institute of Zoology, Chinese Academy of Sciences (IOZ, CAS) is recruiting the director and deputy directors of the National Key Laboratory of Animal Biodiversity Conservation and Integrated Pest Management (proposed)and welcomes outstanding scientists from all over the world. Applicants should be highly qualified and internationally recognized in the research fields of zoological systematics, animal biodiversity, animal ecology, evolutionary biology, conservation biology, animal behavior, integrated pest management, insect physiology and genomics, chemical communication, biotic interaction, etc. Applicants should have demonstrated outstanding academic leadership, innovative potential, and scientific stringency with a forward-looking vision for discipline development and laboratory administration. The applicants for director should be younger than 50 years and work full-time in the key laboratory. The applicants for deputy directors should be younger than 45 years and work full-time in the key laboratory. Both IOZ, CAS, and the key laboratory will offer outstanding working facilities and excellent scientific infrastructures to the coming members. Application documents include: (1) a curriculum vitae; (2) three letters of recommendation with a scanned version with experts' signatures. The contact address and telephone number of the expert are required; (3) The applicant for the director role should provide an overall management plan and term objectives of the national key laboratory (within 2000 words); the applicant for the deputy director role shall provide a vision and term objectives of laboratory management as well as directions, plans, and expected objectives of his/her future research (within 2000 words); (4) copies of education certificates, and copies of professional and technical certificates; (5) copies of 10 representative academic works published in recent ten years (only the first page and the marking page are included), with a list of all works and achievements attached; (6) other supporting materials. Please send the application to wangyuan@ioz.ac.cn before July 31, 2023 . National Key Laboratory of Animal Diversity Conservation and Integrated Pest Management (proposed), IOZ, CAS will focus on the challenge of rapid loss of animal biodiversity and pest management in China and aim to reveal the mechanisms underlying animal biodiversity maintenance/loss and pest outbreak, to develop molecular manipulation, behavioral interference, and other smart pest management technologies, and thereby provide Chinese solutions for animal biodiversity conservation and pest management. For more information, please visit http://english.ioz.cas.cn/ .",2023-05-29 09:59:45,2023-06-23 22:59:00,,"China, Beijing","Institute of Zoology, Chinese Academy of Sciences (IOZ, CAS)",https://www.nature.com/naturecareers/job/781360/national-key-laboratory-of-animal-biodiversity-conservation-and-integrated-pest-management/?TrackID=12&utm_source=rss&utm_medium=feed&utm_campaign=general,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,371,12,20
6,"Department of Biomedical Engineering, SUSTech: Faculty Positions at SUSTech Department of Biomedical Engineering","China, Shenzhen | Department of Biomedical Engineering, SUSTech ","The Department of Biomedical Engineering (BME) , Southern University of Science and Technology (SUSTech), seeks outstanding applicants for full-time tenure-track/tenured faculty positions. Positions are available for both junior and senior-level applicants. Our current areas of focus are in biology , mechanomedicine , biomedical / medical imaging , bioMEMS , regenerative medicine , wearable devices / wireless monitoring , and biomedical data science . We seek faculty members who can contribute to the excellence and diversity of our academic community. A globally competitive start-up package will be provided to successful candidates. Applicants must possess a Ph.D. degree in biomedical engineering or other relevant fields, demonstrated excellent research contributions, and teaching ability. All applicants should submit the following documents to bmehr@sustech.edu.cn in a single (merged) PDF document: (1) Curriculum Vitae, (2) a Statement of Research and Teaching Interests, (3) up to three representative publications. In addition, please arrange 3 letters of reference sent directly to bmehr@sustech.edu.cn, with the applicant’s name as the subject. Applicants must possess a Ph.D. degree in biomedical engineering or other relevant fields (such as computer science, engineering, mathematics, physics, chemistry, materials science, and artificial intelligence). If you would like to apply for National Natural Science Fund for Excellent Young Scientists Fund Program(Overseas) , you are welcome to submit (1) your curriculum vitae and (2) a statement of research. About SUSTech Established in April 2012 with the approval of the Ministry of Education, Southern University of Science and Technology (SUSTech) is a public university established by the City of Shenzhen with the highest standard and positioned to become a world-class research university under the higher education reform and development initiative. Its mission is to play a pioneering and demonstrative role for China’s higher education, for the advancement of innovation in Shenzhen, as well as in China. In February 2022, SUSTech has been selected as a National “Double First-Class” university. SUSTech models itself after world-class polytechnic universities in terms of the curriculum, and administration. In basic sciences, engineering and medicine, SUSTech has research programs and offers undergraduate, graduate (master and doctoral) programs. SUSTech aims to be source of new scientific knowledge and technologies. SUSTech will carry forward its spirit of “advancing research, innovation, and entrepreneurship”, To lead higher education reform in China and serve as a testing ground for building excellent research universities through innovation. Website: https://www.sustech.edu.cn/en/ About the Department of Biomedical Engineering (BME) of SUSTech The Department of Biomedical Engineering was established in 2016, currently under the leadership of Chair Professor Xingyu Jiang. The department currently consists 40 core faculty members, with recipients of “National Science Fund for Distinguished Young Scholars” and “Outstanding Young Scholars of National Science Foundation of China.” Our main research areas include mechanomedicine, wearable health devices and the wireless monitoring, de novo regenerative engineering, multiscale/multimodal biomedical imaging, computational medicine for Big Data and health informatics, biomedical MEMS, and nanomedicine. BME is currently in a phase of rapid development. It is able to provide each faculty with generous laboratory facilities and office space. Senior faculty members would provide vital mentorship in navigating a career as a new faculty. BME welcomes outstanding talents around the world to join us to create an innovative interdisciplinary research team. Leveraging the first-class scientific capabilities at SUSTech, together we will strive to build the BME into an internationally renowned research organization in biomedical engineering. Website: https://bme.sustech.edu.cn/en/",2023-05-29 09:59:46,2023-06-02 22:59:00,,"China, Shenzhen","Department of Biomedical Engineering, SUSTech",https://www.nature.com/naturecareers/job/780332/faculty-positions-at-sustech-department-of-biomedical-engineering/?TrackID=12&utm_source=rss&utm_medium=feed&utm_campaign=general,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,555,8,13
7,Human Technopole: Postdoc in Computational mRNA Biology,"Italy, Milan | Human Technopole ","Job description APPLICATION CLOSING DATE: 22/06/2023 Human Technopole (HT) is a new interdisciplinary life science research institute, created and supported by the Italian Government, with the aim of developing innovative strategies to improve human health. HT is composed of five Centers: Computational Biology, Structural Biology, Genomics, Neurogenomics and Health Data Science. The Centers work together to enable interdisciplinary research and to create an open, collaborative environment that will help promote life science research both nationally and internationally. The Human Technopole Foundation is looking for a Postdoc in Computational mRNA Biology . The position will be an appointment in the Functional Genomics Research Centre and supervised by Dr. Lorenzo Calviello . The successful candidate will be supported by a world-class environment with international leaders in advanced analytics and cutting-edge -omics technologies, and will apply state-of-the art computational methods to targeted questions in functional genomics and mRNA biology. The Calviello Lab is a hybrid computational/experimental research group interested in post-transcriptional gene regulation at -omics scale, with a focus on translation and its many connections to mRNA and proteome dynamics. The open position is intended to work on projects focused on large scale analysis of -omics datasets profiling molecular processes at single-nucleotide resolution (e.g. Ribo-seq, CLIP-seq), and develop innovative computational methods to unbiasedly identify the features predictive of different regulatory steps in the gene expression cascade, towards a quantitative, data-driven understanding of molecular processes and accurate applications in personalized medicine. The successful candidate will be supported by a world-class environment with international leaders in advanced analytics and cutting-edge -omics technologies, and will apply state-of-the art computational methods to targeted questions in functional genomics and mRNA biology; she/he will work in collaboration with all team members in the Calviello Lab and in the Functional Genomics – Computational Biology Centres. Collaborations and interactions within the HT campus and beyond are highly encouraged, to develop independent research projects and prepare for a successful future in interdisciplinary science. Key tasks and responsibilities: Develop machine learning models for the high-resolution analysis of functional transcriptomics datasets. Perform in silico experiments to stress model capabilities in capturing relevant signals under different perturbations. Write well-annotated, reproducible code, employing essential tools in computational research, such as version control and dynamic reporting (e.g. git, Jupyter notebooks, Rmarkdown). Communicate results to the larger scientific community in the form of scientific manuscripts and conference presentations, with clearly documented methods, results, and visualizations. Job requirements Mandatory requirements: A PhD degree in Computational Biology or related discipline, with a focus on quantitative analysis methods. Proven track record of research in Computational Biology, Functional Genomics and/or Machine Learning. Background in statistical learning methods, with a focus on interpretable models. Strong programming skills in R (Bioconductor) and/or Python. Preferential requirements: Knowledge of next generation library preparation techniques. Previous experience with analysis of multiple RNA-seq technologies. Experience in developing documented computational tools for -omics data. Familiarity with time series analysis and AI approaches (e.g. Natural Language Processing). Desired personal skills: Ability to work independently. Willingness to frequently and openly discuss results and ideas, highlighting controls and potential pitfalls, using concise and clear presentations. Fluency in English (HT is an international research institute). Motivation to interact lively with colleagues in the lab, other departments, and the larger scientific community in various events (journal clubs, lab meetings, seminars, hackathons, international conferences, etc.). Strong communication skills and respect for their own and other colleagues’ work, towards fostering a transparent, collaborative, stimulating, and welcoming scientific environment. Willingness in identifying third-party funding sources, towards promoting growth into full academic independence. Application instructions: Please apply by sending a CV and a detailed motivation letter in English only through the dedicated area below (Apply now) and the name and contact details of at least 3 potential referees. Additional information: HT offers a highly collaborative, international and diverse work environment. The working language is English. HT will foster top quality, interdisciplinary research by promoting a vibrant environment consisting of independent research groups that will attract outstanding graduate students and postdoctoral fellows. HT scientists will have full access to cutting-edge Core Facilities. HT is an inclusive, equal opportunity employer offering attractive conditions and benefits appropriate to a leading, internationally competitive research organization. HT seeks to promote a collegial and family-friendly atmosphere. The remuneration package comprises a competitive salary, a comprehensive pension scheme, medical and other social benefits, as well as financial support for relocation and installation, including the family. Researchers coming to Italy for the first time, or returning after residing abroad, benefit from very attractive income tax benefits . Special consideration will be given to candidates who are part of the protected categories list, according to L. 68/99. Contract offered: CCNL Chimico Farmaceutico, Employee level, contract duration 4 years fixed term.",2023-05-29 09:59:48,2023-06-22 22:59:00,,"Italy, Milan",Human Technopole,https://www.nature.com/naturecareers/job/12799624/postdoc-in-computational-mrna-biology/?TrackID=12&utm_source=rss&utm_medium=feed&utm_campaign=general,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,783,5,7
8,"Westlake University: Faculty Positions in Chemical Biology, Westlake University","China, Hangzhou | Westlake University ","Founded in 2018, Westlake University is a new type of non-profit research-oriented university in Hangzhou, China, supported by public and private funding. The Joint Chemical Biology Program of School of Life Sciences and School of Science at Westlake University is recruiting multiple faculty members in all ranks (Tenure-Track Assistant Professor, Associate Professor and Full Professor). We are seeking outstanding scientists to lead vigorous independent research programs focusing on all aspects of chemical biology including, but not limited to, chemical proteomics, chemical genetics and epigenetics, chemical biology of glycoproteins and nucleic acids, protein post-translational modifications, and chemical microbiology. Competitive candidates should have a Ph.D., an outstanding record of research accomplishments, an innovative future research plan, an ability to achieve teaching excellence at both the undergraduate and graduate levels, and a commitment to fostering a diverse and inclusive community in the practice and teaching of science. Suitable candidates will hold academic appointment in both School of Life Sciences and School of Science. Successful candidates will be expected to establish a vibrant research program, teach graduate and undergraduate courses, and participate in university service and scholarly activities. Westlake University has state-of-the-art core facilities and a stimulating academic environment that fosters interdisciplinary collaborations among researchers. Internationally competitive salary and startup package will be provided. Applicants should submit: 1. Cover letter: rank of the position that you apply to, overview of the goals/vision of your research program, your most significant scientific accomplishments, a summary of experiences and qualifications that position you to achieve your goals. 2. Curriculum vitae: a complete list of publications should be included. 3. Statement of Current and Future Research (maximum of 4 pages). 4. For applicants of tenure-track assistant professor positions, 3 letters of reference should be arranged to be sent directly by referees. All application materials should be submitted via http://apply.interfolio.com/106037. Completed applications will be reviewed on a rolling basis and will be accepted until the positions are filled. Westlake University is an equal opportunity employer. We value diversity and welcome applicants from all identities and backgrounds. Contact Information: slstalents@westlake.edu.cn",2023-05-29 09:59:49,2023-07-19 22:59:00,,"China, Hangzhou",Westlake University,https://www.nature.com/naturecareers/job/779742/faculty-positions-in-chemical-biology-westlake-university/?TrackID=12&utm_source=rss&utm_medium=feed&utm_campaign=general,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,340,5,9
9,"Westlake Center for Genome Editing, Westlake University: Tenure-Track Assistant Professor, Associate Professor, and Professor","China, Hangzhou | Westlake Center for Genome Editing, Westlake University ","Founded at Hangzhou, China in 2018, Westlake University is a new type of non-profit research-oriented university, creating a stimulating, world-class environment for research and education in science, engineering and technology, and life sciences. Westlake Center for Genome Editing is a newly established research center at Westlake University, aiming to develop novel technologies for genome editing applications. Westlake Center for Genome Editing seeks exceptional scholars in the following areas: Novel genome editing approaches Delivery systems for genome editing Genome editing at the organismal level Genome editing-related DNA damage repair Web：https://www.westlake.edu.cn/research/centers_labs_programs/ In addition to the above-mentioned directions, we encourage interdisciplinary research and welcomes talents from all disciplines to join！！ Faculty positions are opened at levels of Tenure-Track Assistant Professor, Associate Professor, and Professor. Each faculty member is provided with an internationally competitive start-up package to ensure maximum academic freedom and to encourage creativity and risk-taking. The package includes long-term research funding, ample laboratory space, access to state-of-the-art research facilities, excellent technical and administrative support. All faculty members at Westlake Center for Genome Editing receive an internationally competitive salary and benefits package that includes a generous housing allowance and a premium medical care plan. Candidates interested in our positions can contact us directly, please send the following documents in PDF format to huangzhiwei@westlake.edu.cn , and indicate “Position title + Name”. Cover letter Curriculum vitae with a complete list of publications o Statement of research interest and plan (3 pages) Three letters of reference (to be submitted directly by the referees) Contact US: wcge@westlake.edu.cn",2023-05-29 09:59:50,2023-08-20 22:59:00,,"China, Hangzhou","Westlake Center for Genome Editing, Westlake University",https://www.nature.com/naturecareers/job/781249/tenure-track-assistant-professor-associate-professor-and-professor/?TrackID=12&utm_source=rss&utm_medium=feed&utm_campaign=general,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,250,10,14
10,Human Technopole: Postdoc in Machine Learning for Cancer Pharmacogenomics,"Italy, Milan | Human Technopole ","APPLICATION CLOSING DATE: July 3rd, 2023 Human Technopole (HT) is a new interdisciplinary life science research institute, created and supported by the Italian Government, with the aim of developing innovative strategies to improve human health. HT is composed of five Centers: Computational Biology, Structural Biology, Genomics, Neurogenomics and Health Data Science. The Centers work together to enable interdisciplinary research and to create an open, collaborative environment that will help promote life science research both nationally and internationally. The Iorio Lab in the Computational Biology Research Centre at Human Technopole in Milan works at the interface of biology, machine learning, statistics and information theory; our goal is to understand and predict how genomic alterations and molecular traits from other omics contribute to pathological processes, biological circuits’ rewiring and have an impact on therapeutic response in human cancers and other diseases. Our research aims at advancing human health by designing algorithms, computational tools and novel analytical methods for the integration and the analysis of pharmacogenomics and functional-genomics datasets, with the ultimate objective of identifying new therapeutic targets , biomarkers and drug repositioning opportunities. We are looking for a highly motivated postdoctoral researcher with strong skills in Computational Biology to fill a Postdoc- position in the research team led by Francesco Iorio within the Centre for Computational Biology. This role will be actively interacting with the other HT research centres, as well as national and international collaborators, such as those involved in the Cancer Dependency Map partnership , whose broad goal is to systematically identify cancer vulnerabilities and dependencies that could be exploited therapeutically. The selected candidate will work on the development of new algorithms, analytical methods and tools for the analysis of data from perturbational screens performed on cancer pre-clinical models (cell-lines, organoids and patient derived xerographs) with various phenotypic readout (ranging from cell viability reduction, to sc-transcriptomics and spatial transcriptomics); will develop machine learning tools for the prediction of cancer dependencies and drug response from the integration of the aforementioned screens and the multiomic characterisation of the screened models; will interact with other research groups and prepare research products for manuscript submission and presentations to international meetings/conferences. Key tasks and responsibilities: Performing original computational biology research and developing novel methods and models to identify clinically relevant cancer dependencies and vulnerabilities. Developing and applying new tools for the integrative analysis and visualization of large multiomic / multimodal biomedical datasets, Designing, implementing, and explaining predictive models based on statistical inference and machine learning approaches to identify molecular determinants of gene essentiality and drug response. Contributing to the analysis and interpretation of multidisciplinary collaborative projects with translational and clinical collaborators. Contributing to study design and research project management. Job requirements Mandatory requirements: PhD in Computational Biology, Bioinformatics, Statistics, Computer Science, or related fields. Strong quantitative data analysis and visualization expertise. Ability to own planning, execution, and delivery of scientific results. Full proficiency in at least one scripting language (Python, R, Julia). Preferential requirements: Experience in developing and implementing statistical and machine learning based predictive models. Familiarity with major public sources of transcriptomic and genomic data. Excellent verbal, written, analytical, and presentation communication skills. Fluent in English. Other competencies: Solid understanding of molecular biology and oncology. Previous experience in single-cell omic data analysis, especially single-cell RNAseq. Familiarity with cluster computing: Slurm, Nexflow, Snakemake. Familiarity with graph databases and graph neural networks. Programming languages: full scripting proficiency with both Python and R. Python packages: PyTorch, Numba, CUDA. Familiarity with software development best practices: testing, versioning, CI/CD. Strong publishing record in Computational Biology, Bioinformatics journals. Experience in contributing to the design of collaborative multidisciplinary projects. Application Instructions To apply, please send the following: • a CV. • a motivation letter in English relating your track record to the specifics of the call. • names and contacts of 2 referees. Additional information HT offers a highly collaborative, international culture. The working language at HT is English. HT will foster top quality, interdisciplinary research by promoting a vibrant environment consisting of independent research groups with access to outstanding graduate students, postdoctoral fellows and core facilities. HT is an inclusive, equal opportunity employer offering attractive conditions and benefits appropriate to a leading, internationally competitive, research organization and seeks to promote a collegial and open atmosphere. The compensation package granted will be internationally competitive and comprise pension scheme, medical and other social benefits. Special consideration will be given to candidates who are part of the protected categories list, according to L. 68/99. Number of positions offered: 1 Contract offered : CCNL Chimico Farmaceutico, Fixed-term 4 years - employee level. The position is based in Milan .",2023-05-29 09:59:51,2023-07-03 22:59:00,,"Italy, Milan",Human Technopole,https://www.nature.com/naturecareers/job/12799596/postdoc-in-machine-learning-for-cancer-pharmacogenomics/?TrackID=12&utm_source=rss&utm_medium=feed&utm_campaign=general,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,765,5,9
